username,user id,access hash,name,group,group id
loraPalm,5876062624,-7863333540547288687,Lora Pinta,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
klaimeravebot,5567016083,-3794473612483980949,🌈𝕂𝕝𝕒𝕚𝕞𝕖𝕣𝕒𝕧𝕖🌈,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
sokiablo,846441219,-1755183681318296078,соняшка,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
iris_black_bot,5443619563,3591824480286777701,Iris | Black Diamond,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
MENTOLS1S,5693853949,7947311891191648975,🥶MENTOL🥶,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
k_kypatop,946191451,1791748258528212252,Kypatop,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
wussevi,1149721801,-2540633968106461559,🎩 𝚢𝚘𝚞𝚗𝚐 𝚌𝚘𝚏𝚏𝚎𝚎) 🪄🐇,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
NIGHT_JIGIT,1888843983,-6005313143234813414,𝓐𝓻𝓲𝓼𝓽𝓸𝓬𝓻𝓪𝓽𝓲𝓬•𝓞𝔀𝓵,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
FortunexxZ,5113849269,9139108819721252903,ᠮᝪᜠᝨᝀᜬᠻ | 행운|,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
angel_m4y_cry,656491795,2503930119953405860,faust👁(Щербак),⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
nani_jd,1667049796,-4985565239116686487,"*""₽@?!",⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
ayeayeayeyeye,847196237,2632545623314132463,я льоша наушнік,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
fialohkag,2064113766,-5181270342429994378,фиалка 💞,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
Sonik_Fj,1988324107,-833205850562860527,Пушкирр<--- Радилас ради ЛЕРЫ💔💔,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
,5037152106,-3771391147201500152,♡KoTuk♡,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
fold4444,1061043184,4098895387622436907,Fold,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
dazriln,5150622659,-6656683913170258564,сушёное яблоко,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
toadbot,1124824021,5346808689968563867,Жабабот с жабами и лягушками,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
maltb1,5488821527,2102254333721668484,ꍏ'ꎭꀤꀘꀍꍏꀤ꒒ꂦ꒦ꍏ,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
,5975470416,-4904169594758717708,Понятно,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
,5183429159,-8455459656304995108,Шичючка,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
bbyyyyyyyyyy,5290628910,7055049268009588518,bby<3🥷🖤,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
yyulyashaa,5106334765,-3140541089690257176,Юлианна🤍,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
fffff7899,536269356,-3437176466954835685,tam tam taaaam,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
bforgame_bot,1721358063,-3663982433751193031,BFG,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
Eyuegue,5202387162,4431851784105327316,Кураtор = долбоеб,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
Fodojdis,1164876067,-5337628162557509797,витя пластилин,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
Kuram_a,1333442284,-6687425254568031552,♡鞍馬♡,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
VarkusD1,5211580484,4610302296849460792,Твой негрик,⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
,5377856138,2327882533470479692,",",⚡️ Ꮻбщиᴛᴇᴧьный чᴀᴛиᴋ ⚡️,1766238437
